# Format: [Timestamp] [Source IP] [Type] [Domain] [Status]
[2026-02-25 10:00:01] 192.168.1.15 IN A google.com NOERROR
[2026-02-25 10:00:15] 192.168.1.45 IN A 01.A9F32B77.data.packet-leak.xyz NOERROR
[2026-02-25 10:00:22] 192.168.1.102 IN A slack.com NOERROR
[2026-02-25 10:00:30] 192.168.1.45 IN A 02.C2D4E188.data.packet-leak.xyz NOERROR
[2026-02-25 10:00:45] 192.168.1.45 IN A 03.B8E11A99.data.packet-leak.xyz NOERROR
[2026-02-25 10:01:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:01:12] 192.168.1.45 IN A 04.F0F1A211.data.packet-leak.xyz NOERROR
[2026-02-25 10:02:05] 192.168.1.15 IN A github.com NOERROR
[2026-02-25 10:02:30] 192.168.1.45 IN A 05.D7E2B322.data.packet-leak.xyz NOERROR
[2026-02-25 10:03:45] 192.168.1.45 IN A 06.E8A1C433.data.packet-leak.xyz NOERROR
[2026-02-25 10:04:15] 192.168.1.20 IN A outlook.office365.com NOERROR
[2026-02-25 10:05:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:05:10] 192.168.1.45 IN A 07.A1B2C344.data.packet-leak.xyz NOERROR
[2026-02-25 10:06:20] 192.168.1.45 IN A 08.D4E5F655.data.packet-leak.xyz NOERROR
[2026-02-25 10:07:01] 192.168.1.200 IN A xz9y8x7w6v.ru NXDOMAIN
[2026-02-25 10:07:05] 192.168.1.200 IN A qp2w3e4r5t.ru NXDOMAIN
[2026-02-25 10:07:10] 192.168.1.200 IN A lm1n2b3v4c.ru NOERROR
[2026-02-25 10:08:15] 192.168.1.45 IN A 09.C7D00B66.data.packet-leak.xyz NOERROR
[2026-02-25 10:09:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:09:45] 192.168.1.45 IN A 10.E9A3C477.data.packet-leak.xyz NOERROR
[2026-02-25 10:10:12] 192.168.1.15 IN A aws.amazon.com NOERROR
[2026-02-25 10:11:30] 192.168.1.45 IN A 11.F1E2D388.data.packet-leak.xyz NOERROR
[2026-02-25 10:12:45] 192.168.1.45 IN A 12.A4B5C699.data.packet-leak.xyz NOERROR
[2026-02-25 10:13:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:14:05] 192.168.1.45 IN A 13.D1E2F3AA.data.packet-leak.xyz NOERROR
[2026-02-25 10:15:15] 192.168.1.45 IN A 14.B9A8C7BB.data.packet-leak.xyz NOERROR
[2026-02-25 10:16:00] 192.168.1.10 IN A internal-wiki.local NOERROR
[2026-02-25 10:17:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:17:45] 192.168.1.45 IN A 15.E5D4C3CC.data.packet-leak.xyz NOERROR
[2026-02-25 10:18:20] 192.168.1.45 IN A 16.F2B1A0DD.data.packet-leak.xyz NOERROR
[2026-02-25 10:19:10] 192.168.1.200 IN A kj7h6g5f4d.top NXDOMAIN
[2026-02-25 10:19:15] 192.168.1.200 IN A po0i9u8y7t.top NOERROR
[2026-02-25 10:20:00] 192.168.1.45 IN A 17.A0C9D8EE.data.packet-leak.xyz NOERROR
[2026-02-25 10:21:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:21:30] 192.168.1.45 IN A 18.B1E2F3FF.data.packet-leak.xyz NOERROR
[2026-02-25 10:22:15] 192.168.1.15 IN A cnn.com NOERROR
[2026-02-25 10:23:45] 192.168.1.45 IN A 19.D4C5B600.data.packet-leak.xyz NOERROR
[2026-02-25 10:24:50] 192.168.1.45 IN A 20.E7F8A911.data.packet-leak.xyz NOERROR
[2026-02-25 10:25:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:26:12] 192.168.1.45 IN A 21.A2B3C422.data.packet-leak.xyz NOERROR
[2026-02-25 10:27:05] 192.168.1.45 IN A 22.D9E8F733.data.packet-leak.xyz NOERROR
[2026-02-25 10:28:15] 192.168.1.102 IN A spotify.com NOERROR
[2026-02-25 10:29:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:29:45] 192.168.1.45 IN A 23.B0C1D244.data.packet-leak.xyz NOERROR
[2026-02-25 10:30:30] 192.168.1.45 IN A 24.F5E4D355.data.packet-leak.xyz NOERROR
[2026-02-25 10:31:10] 192.168.1.200 IN A mnbvcxz123.ru NXDOMAIN
[2026-02-25 10:32:00] 192.168.1.45 IN A 25.A8B9C066.data.packet-leak.xyz NOERROR
[2026-02-25 10:33:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:34:20] 192.168.1.45 IN A 26.D2E1F077.data.packet-leak.xyz NOERROR
[2026-02-25 10:35:15] 192.168.1.45 IN A 27.C4B3A288.data.packet-leak.xyz NOERROR
[2026-02-25 10:36:00] 192.168.1.15 IN A linkedin.com NOERROR
[2026-02-25 10:37:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:38:45] 192.168.1.45 IN A 28.F8E7D699.data.packet-leak.xyz NOERROR
[2026-02-25 10:39:12] 192.168.1.45 IN A 29.A1B0C9AA.data.packet-leak.xyz NOERROR
[2026-02-25 10:40:05] 192.168.1.45 IN A 30.D5C4B3BB.data.packet-leak.xyz NOERROR
[2026-02-25 10:41:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:42:30] 192.168.1.45 IN A 31.E2F1A0CC.data.packet-leak.xyz NOERROR
[2026-02-25 10:43:15] 192.168.1.45 IN A 32.B9C8D7DD.data.packet-leak.xyz NOERROR
[2026-02-25 10:44:00] 192.168.1.102 IN A netflix.com NOERROR
[2026-02-25 10:45:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:46:20] 192.168.1.45 IN A 33.F0A1B2EE.data.packet-leak.xyz NOERROR
[2026-02-25 10:47:15] 192.168.1.45 IN A 34.C3D4E5FF.data.packet-leak.xyz NOERROR
[2026-02-25 10:48:10] 192.168.1.200 IN A zaqwsxcder.top NOERROR
[2026-02-25 10:49:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:50:30] 192.168.1.45 IN A 35.B6A7D800.data.packet-leak.xyz NOERROR
[2026-02-25 10:51:15] 192.168.1.45 IN A 36.E9F0C111.data.packet-leak.xyz NOERROR
[2026-02-25 10:52:00] 192.168.1.15 IN A stackoverflow.com NOERROR
[2026-02-25 10:53:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:54:45] 192.168.1.45 IN A 37.A2B1C022.data.packet-leak.xyz NOERROR
[2026-02-25 10:55:12] 192.168.1.45 IN A 38.D3E4F533.data.packet-leak.xyz NOERROR
[2026-02-25 10:56:05] 192.168.1.45 IN A 39.B8C7A644.data.packet-leak.xyz NOERROR
[2026-02-25 10:57:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 10:58:30] 192.168.1.45 IN A 40.F1E2D355.data.packet-leak.xyz NOERROR
[2026-02-25 10:59:15] 192.168.1.45 IN A 41.A0B9C866.data.packet-leak.xyz NOERROR
[2026-02-25 11:00:00] 192.168.1.102 IN A zoom.us NOERROR
[2026-02-25 11:01:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:02:20] 192.168.1.45 IN A 42.D5E4F377.data.packet-leak.xyz NOERROR
[2026-02-25 11:03:15] 192.168.1.45 IN A 43.C2B1A088.data.packet-leak.xyz NOERROR
[2026-02-25 11:04:10] 192.168.1.200 IN A plmoknijb.ru NXDOMAIN
[2026-02-25 11:05:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:06:30] 192.168.1.45 IN A 44.F7E6D599.data.packet-leak.xyz NOERROR
[2026-02-25 11:07:15] 192.168.1.45 IN A 45.A1B2C3AA.data.packet-leak.xyz NOERROR
[2026-02-25 11:08:00] 192.168.1.15 IN A wikipedia.org NOERROR
[2026-02-25 11:09:00] 10.0.5.12 IN A update.srv-cloud.net NOERROR
[2026-02-25 11:10:45] 192.168.1.45 IN A 46.D4C5B6BB.data.packet-leak.xyz NOERROR
[2026-02-25 11:11:12] 192.168.1.45 IN A 47.E7F8A9CC.data.packet-leak.xyz NOERROR
